"Name","NA_Sales","Year","Genre"
"¡shin chan flipa en colores!","0","2007","Platform"
".hack: sekai no mukou ni + versus","0","2012","Action"
".hack//g.u. vol.1//rebirth","0","2006","Role-Playing"
".hack//g.u. vol.2//reminisce","0.11","2006","Role-Playing"
".hack//g.u. vol.2//reminisce (jp sales)","0","2006","Role-Playing"
".hack//g.u. vol.3//redemption","0","2007","Role-Playing"
".hack//infection part 1","0.49","2002","Role-Playing"
".hack//link","0","2010","Role-Playing"
".hack//mutation part 2","0.23","2002","Role-Playing"
".hack//outbreak part 3","0.14","2002","Role-Playing"
".hack//quarantine part 4: the final chapter","0.09","2003","Role-Playing"
"'98 koshien","0.15","1998","Sports"
"[prototype 2]","0.48","2012","Action"
"[prototype]","0.84","2009","Action"
"007 racing","0.3","2000","Racing"
"007: quantum of solace","0.82","2008","Action"
"007: the world is not enough","1.13","2000","Action"
"007: tomorrow never dies","1.72","1999","Shooter"
"1 vs. 100","0.08","2008","Misc"
"1/2 summer +","0","2013","Adventure"
"10 minute solution","0.06","2010","Sports"
"100 all-time favorites","0.35","2009","Puzzle"
"100 classic books","0.13","2008","Misc"
"100 classic games","0","2011","Misc"
"1000 cooking recipes from elle à table","0","2010","Misc"
"1001 touch games","0.12","2011","Action"
"101-in-1 explosive megamix","0.05","2008","Puzzle"
"101-in-1 party megamix wii","0.19","2009","Misc"
"101-in-1 sports megamix","0.08","2010","Sports"
"101-in-1 sports party megamix","0.02","2010","Sports"
"1080°: teneighty snowboarding","1.25","1998","Sports"
"11eyes: crossover","0","2009","Adventure"
"12-sai. honto no kimochi","0","2014","Adventure"
"12-sai. koisuru diary","0","2016","Adventure"
"12riven: the psi-climinal of integral","0","2008","Adventure"
"15 days","0","2009","Adventure"
"1701 a.d.","0","2006","Simulation"
"18 wheeler: american pro trucker","0.2","2001","Racing"
"18 wheels of steel: extreme trucker","0","2009","Racing"
"18 wheels of steel: extreme trucker 2","0.08","2011","Racing"
"187: ride or die","0.07","2005","Racing"
"1942","0.65","1985","Shooter"
"2 games in 1 double pack: hot wheels velocity x / hot wheels world race","0.09","2005","Racing"
"2 games in 1 double pack: the incredibles / finding nemo: the continuing adventures","1.26","2007","Action"
"2 games in 1: disney princess & the lion king","1.25","2004","Misc"
"2 games in 1: disney's brother bear / the lion king 1 1/2","0.22","2005","Action"
"2 games in 1: sonic advance & chuchu rocket!","1.31","2005","Misc"
"2 games in 1: sonic battle & chuchu rocket!","0.44","2005","Misc"
"2 games in 1: sonic pinball party & columns crown","0.04","2005","Misc"
"2 games in 1: spongebob squarepants: supersponge & rugrats go wild","0.33","2005","Platform"
"2 in 1 combo pack: sonic heroes / super monkey ball deluxe","0.4","2004","Misc"
"2-in-1 game pack: spider-man & spider-man 2","0.06","2005","Platform"
"2002 fifa world cup","0.21","2002","Sports"
"2010 fifa world cup south africa","0.3","2010","Sports"
"2014 fifa world cup brazil","0.15","2014","Sports"
"24: the game","0.15","2006","Adventure"
"25 to life","0.35","2006","Shooter"
"2xtreme","1.15","1996","Sports"
"3 in 1: solitaire, mahjong & tangram","0","2010","Misc"
"300: march to glory","0.27","2007","Action"
"3d baseball","0.02","1996","Sports"
"3d dot game heroes","0.36","2009","Role-Playing"
"3d lemmings","0.03","1995","Puzzle"
"3d tank warfare simulator panzer front","0.06","1999","Simulation"
"3ds classic collection","0.02","2016","Misc"
"3rd super robot wars z jigoku hen","0","2014","Role-Playing"
"3rd super robot wars z: tengoku-hen","0","2015","Action"
"3xtreme","0.5","1999","Action"
"4 elements","0","2009","Puzzle"
"4 game fun pack: monopoly / boggle / yahtzee / battleship","0.11","2005","Misc"
"4 nin uchi mahjong","0","1984","Misc"
"40 winks","0.17","1999","Platform"
"428: fuusa sareta shibuya de","0","2009","Adventure"
"4x4 evo 2","0.18","2001","Racing"
"4x4 evolution","0.16","2001","Racing"
"50 cent: blood on the sand","0.12","2009","Shooter"
"50 cent: bulletproof","0.85","2005","Action"
"50 classic games","0.52","2009","Misc"
"64 de hakken! tamagotchi minna de tamagotchi world","0","1997","Misc"
"7 days to die","0.03","2016","Action"
"7 roses: a darkness rises","0","2015","Misc"
"7 wonders ii","0.14","2009","Puzzle"
"7 wonders of the ancient world","0.1","2007","Puzzle"
"7 wonders: treasures of seven","0.02","2011","Puzzle"
"7th dragon","0","2009","Role-Playing"
"7th dragon 2020","0","2011","Role-Playing"
"7th dragon 2020-ii","0","2013","Role-Playing"
"7th dragon iii code: vfd","0.03","2015","Role-Playing"
"99 no namida","0","2008","Adventure"
"999: nine hours, nine persons, nine doors","0.37","2009","Adventure"
"a boy and his blob","0.19","2009","Platform"
"a bug's life","1.96","1998","Platform"
"a collection of activision classic games for the atari 2600","0.76","1998","Misc"
"a collection of classic games from the intellivision","0.17","1999","Misc"
"a game of thrones: genesis","0","2011","Strategy"
"a good librarian like a good shepherd: library party","0","2015","Action"
"a lli s.v.: a ressha de gyoukou 3 super version","0","1995","Simulation"
"a new beginning","0","2010","Adventure"
"a ressha de gyoukou 2001","0","2001","Simulation"
"a ressha de ikou ds","0","2009","Simulation"
"a vampyre story","0","2008","Adventure"
"a witch's tale","0.08","2009","Role-Playing"
"a-train","0.02","1995","Simulation"
"a-train 6","0","2000","Strategy"
"a-train: city simulator","0","2014","Simulation"
"a. iv evolution: a ressha de ikou 4","0","1994","Strategy"
"a.c.e.: another century's episode","0","2005","Simulation"
"a.c.e.: another century's episode 2","0","2006","Simulation"
"a.c.e.: another century's episode 3: the final","0","2007","Simulation"
"a.c.e.: another century's episode portable","0","2011","Simulation"
"a.c.e.: another century's episode r","0","2010","Simulation"
"aa megami-samaa","0","2007","Adventure"
"abba: you can dance","0.19","2011","Misc"
"abunai: koi no sousa shitsu","0","2015","Action"
"ac/dc live: rock band track pack","0.21","2008","Misc"
"academy of champions: soccer","0.1","2009","Sports"
"accel world: ginyoku no kakusei","0","2012","Adventure"
"accel world: kasoku no chouten","0","2013","Adventure"
"ace attorney 6","0","2016","Adventure"
"ace attorney investigations 2","0","2011","Adventure"
"ace attorney investigations: miles edgeworth","0.27","2009","Adventure"
"ace combat 04: shattered skies","2.06","2001","Simulation"
"ace combat 2","0.16","1997","Simulation"
"ace combat 3: electrosphere","0.22","1999","Simulation"
"ace combat 5: the unsung war","0.88","2004","Simulation"
"ace combat 6: fires of liberation","0.69","2007","Simulation"
"ace combat x: skies of deception","0.37","2006","Simulation"
"ace combat zero: the belkan war","0.15","2006","Simulation"
"ace combat: assault horizon","0.3","2011","Action"
"ace combat: assault horizon legacy","0.1","2011","Simulation"
"ace combat: joint assault","0.06","2010","Simulation"
"achtung panzer: kharkov 1943","0","2010","Strategy"
"act of aggression","0","2015","Strategy"
"action bass","0.64","2000","Action"
"action force","0.5","1982","Action"
"active health with carol vorderman","0","2009","Sports"
"active life explorer","0.14","2010","Sports"
"active life: extreme challenge","0.15","2009","Sports"
"active life: magical carnival","0.04","2011","Misc"
"active life: outdoor challenge","0.79","2008","Sports"
"activision anthology","0.25","2002","Misc"
"activision hits: remixed","0.05","2006","Misc"
"actua tennis","0.07","1997","Sports"
"adidas power soccer","0.02","1996","Sports"
"adidas power soccer 98","0.01","1998","Sports"
"adrenalin misfits","0.12","2010","Racing"
"advance guardian heroes","0.03","2004","Role-Playing"
"advance wars","0.5","2001","Strategy"
"advance wars 2: black hole rising","0.47","2003","Strategy"
"advance wars: dual strike","0.3","2005","Strategy"
"advent rising","0.1","2005","Action"
"adventure island","0","1986","Platform"
"adventure time: explore the dungeon because i don't know!","0.02","2013","Action"
"adventure time: finn & jake investigations","0.02","2015","Action"
"adventure time: the secret of the nameless","0.01","2014","Adventure"
"adventure time: the secret of the nameless kingdom","0","2014","Action"
"adventures of lolo","0.06","1989","Puzzle"
"adventures of tron","0.63","1981","Action"
"adventures to go!","0.1","2008","Role-Playing"
"aedis eclipse: generation of chaos","0.02","2006","Role-Playing"
"aegis of earth: protonovus assault","0.02","2016","Action"
"aeon flux","0.02","2005","Action"
"aero elite: combat academy","0.04","2002","Simulation"
"aero gauge","0.06","1997","Racing"
"aerofighters assault","0.15","1997","Action"
"afrika","0.12","2008","Adventure"
"afro samurai","0.16","2009","Action"
"after hours athletes","0","2011","Sports"
"again","0.07","2009","Adventure"
"agassi tennis generation","0.04","2003","Sports"
"agatha christie: and then there were none","0.06","2008","Adventure"
"agatha christie: death on the nile","0","2008","Adventure"
"agatha christie: evil under the sun","0.07","2008","Adventure"
"agatha christie: peril at end house","0","2009","Adventure"
"agatha christie: the abc murders","0.08","2009","Adventure"
"agatha christie's the abc murders","0.01","2016","Adventure"
"age of conan: rise of the godslayer","0","2010","Role-Playing"
"age of empires ii: the age of kings","0.01","1999","Strategy"
"age of empires iii","0","2005","Strategy"
"age of empires iii: complete collection","0.01","2009","Strategy"
"age of empires iii: gold edition","0","2007","Strategy"
"age of empires iii: the asian dynasties","0","2007","Strategy"
"age of empires online","0.01","2011","Strategy"
"age of empires: collector's edition","0.02","2000","Strategy"
"age of empires: mythologies","0.17","2008","Strategy"
"age of empires: the age of kings","0.19","2006","Strategy"
"age of mythology","0.02","2002","Strategy"
"age of mythology: the titans","0.01","2003","Strategy"
"aggressive inline","0.17","2002","Sports"
"agile warrior f-111x","0.08","1995","Simulation"
"aibou ds","0","2009","Adventure"
"aidyn chronicles: the first mage","0.08","2001","Role-Playing"
"aikatsu! 2-nin no my princess","0","2013","Action"
"aikatsu! 365 idol days","0","2014","Adventure"
"aikatsu! cinderella lesson","0","2012","Role-Playing"
"aikatsu! my no.1 stage!","0","2015","Misc"
"ailu de puzzle","0","2012","Action"
"air","0","2007","Adventure"
"air combat","0.92","1995","Simulation"
"air conflicts: aces of world war ii","0.05","2009","Simulation"
"air conflicts: secret wars","0.1","2011","Simulation"
"air raid","0.72","1981","Action"
"air traffic chaos","0.05","2007","Simulation"
"airblade","0.11","2001","Sports"
"airborne troops: countdown to d-day","0.06","2005","Shooter"
"airforce delta storm","0.14","2001","Shooter"
"airforce delta strike","0.05","2004","Simulation"
"airline tycoon","0","2000","Simulation"
"airline tycoon 2","0","2011","Simulation"
"airlock","0.36","1981","Action"
"airport simulator","0","2011","Simulation"
"airship q","0","2015","Platform"
"akagawa jirou mystery: yasoukyoku - hon ni manekareta satsujin","0","2008","Adventure"
"akai ito ds","0","2008","Adventure"
"akai katana shin","0.04","2011","Shooter"
"akane iro ni somaru saka parallel","0","2008","Adventure"
"akatsuki no amaneka to aoi kyojin","0","2010","Strategy"
"akatsuki no goei trinity","0","2012","Adventure"
"akb1/149: love election","0","2012","Adventure"
"akb1/48: idol to guam de koishitara...","0","2011","Misc"
"akb1/48: idol to koishitara...","0","2010","Misc"
"akb48+me","0","2012","Action"
"akiba's trip","0","2011","Adventure"
"akiba's trip plus","0","2012","Adventure"
"akiba's trip: undead & undressed","0.09","2013","Action"
"akko ni omakase! brain shock","0","2006","Misc"
"akuji the heartless","0.07","1998","Platform"
"aladdin magic racer","0.01","2011","Racing"
"alan wake","0.66","2010","Action"
"alexi lalas international soccer","0.04","1998","Sports"
"alfa romeo racing italiano","0.01","2005","Racing"
"alia's carnival! sacrament","0","2015","Adventure"
"alias","0.05","2004","Action"
"alice in wonderland","0.27","2010","Adventure"
"alice: madness returns","0.22","2011","Adventure"
"alien","0.74","1981","Action"
"alien breed trilogy","0","2011","Shooter"
"alien hominid","0.05","2004","Shooter"
"alien monster bowling league","0.09","2009","Sports"
"alien resurrection","0.09","2000","Shooter"
"alien syndrome","0.07","2007","Role-Playing"
"alien trilogy","0.24","1996","Shooter"
"alien: isolation","0.34","2014","Shooter"
"alien's return","0.32","1982","Action"
"alienators: evolution continues","0.03","2001","Action"
"aliens in the attic","0.07","2009","Action"
"aliens versus predator: extinction","0.09","2003","Strategy"
"aliens vs predator","0.55","2010","Shooter"
"aliens vs predator: requiem","0.03","2007","Action"
"aliens: colonial marines","0.36","2013","Shooter"
"aliens: infestation","0.1","2011","Action"
"all grown up! express yourself","0.13","2004","Misc"
"all grown up!: game boy advance video volume 1","0.17","2004","Misc"
"all japan pro wrestling featuring virtua","0","1997","Fighting"
"all kamen rider: rider generation","0","2011","Action"
"all kamen rider: rider generation 2","0","2012","Action"
"all points bulletin","0","2010","Role-Playing"
"all star cheer squad","0.43","2008","Sports"
"all star cheer squad 2","0.12","2009","Sports"
"all star karate","0.14","2010","Action"
"all star pro-wrestling","0","2000","Fighting"
"all star tennis 99","0.04","1999","Sports"
"all-pro football 2k8","0.24","2007","Sports"
"all-star baseball 2000","0.36","1999","Sports"
"all-star baseball 2001","0.22","2000","Sports"
"all-star baseball 2002","0.27","2001","Sports"
"all-star baseball 2003","0.38","2002","Sports"
"all-star baseball 2004","0.21","2003","Sports"
"all-star baseball 99","0.44","1998","Sports"
"alleyway","0.96","1989","Puzzle"
"allied general","0.11","1996","Strategy"
"alone in the dark","0.14","2008","Adventure"
"alone in the dark: inferno","0.09","2008","Adventure"
"alone in the dark: one-eyed jack's revenge","0.17","1996","Adventure"
"alpha and omega","0.06","2010","Action"
"alpha protocol","0.19","2010","Role-Playing"
"alter echo","0.06","2003","Shooter"
"alter ego","0","1985","Simulation"
"altered beast: guardian of the realms","0.07","2002","Action"
"alundra","0.13","1997","Role-Playing"
"alundra 2: a new legend begins","0.15","1999","Role-Playing"
"alvin and the chipmunks","0.12","2007","Misc"
"alvin and the chipmunks: chipwrecked","0.08","2011","Misc"
"alvin and the chipmunks: the squeakquel","0.28","2009","Misc"
"amagami","0","2011","Adventure"
"amagoushi no yakata","0","2007","Adventure"
"amatsumi sora ni! kumo no hatate ni","0","2015","Adventure"
"amazing adventures: the forgotten ruins","0.13","2008","Adventure"
"amazing island","0.04","2004","Strategy"
"america oudan ultra-quiz","0","1995","Misc"
"america's army: rise of a soldier","0.19","2005","Shooter"
"america's army: true soldiers","0.08","2007","Shooter"
"america's next top model","0.1","2008","Action"
"america's test kitchen: let's get cooking","0.25","2010","Simulation"
"american bass challenge","0.03","2001","Sports"
"american chopper","0.35","2004","Racing"
"american chopper 2: full throttle","0.04","2005","Racing"
"american girl: julie finds a way","0.1","2007","Adventure"
"american girl: kit mystery challenge!","0.42","2008","Adventure"
"american idol","0.27","2003","Misc"
"amf bowling 2004","0.22","2003","Sports"
"amf bowling pinbusters!","0.85","2007","Sports"
"amf bowling world lanes","0.33","2008","Sports"
"amf xtreme bowling","0.01","2006","Sports"
"amnesia","0","2011","Adventure"
"amnesia crowd","0","2013","Misc"
"amnesia later","0","2012","Misc"
"amnesia world","0","2014","Adventure"
"amped 2","0.2","2003","Sports"
"amped 3","0.13","2005","Sports"
"amped: freestyle snowboarding","0.69","2001","Sports"
"amplitude","0.09","2003","Misc"
"an american tail: fievel's gold rush","0.02","2002","Platform"
"anarchy reigns","0.1","2012","Action"
"and1 streetball","0.13","2006","Action"
"andretti racing","0.43","1996","Racing"
"angel blade: neo tokyo guardians","0.12","1997","Role-Playing"
"angelique duet","0","1998","Strategy"
"angelique retour","0","2015","Action"
"angelique trois","0","2000","Adventure"
"angelique: maren no rokukishi","0","2011","Adventure"
"angler's club: ultimate bass fishing 3d","0","2011","Sports"
"angry birds","0","2011","Puzzle"
"angry birds star wars","0.1","2013","Strategy"
"angry birds trilogy","0.38","2012","Action"
"angry birds: rio","0","2011","Puzzle"
"anima - gate of memories","0","2016","Action"
"animal crossing","1.92","2001","Simulation"
"animal crossing: amiibo festival","0.19","2015","Misc"
"animal crossing: city folk","1.87","2008","Simulation"
"animal crossing: happy home designer","0.47","2015","Simulation"
"animal crossing: new leaf","2.01","2012","Simulation"
"animal crossing: wild world","2.55","2005","Simulation"
"animal genius","0.11","2007","Puzzle"
"animal kingdom: wildlife expedition","0.07","2009","Adventure"
"animal paradise","0.09","2007","Simulation"
"animal planet: emergency vets","0.08","2009","Simulation"
"animal planet: vet collection","0.05","2010","Simulation"
"animal planet: vet life","0.1","2009","Simulation"
"animaniacs ten pin alley","0.36","1998","Sports"
"animaniacs: the great edgar hunt","0.02","2005","Platform"
"animates!","0.02","2007","Simulation"
"animorphs: shattered reality","0.03","2000","Action"
"anno 1701: dawn of discovery","0.07","2007","Simulation"
"anno 2070","0","2011","Strategy"
"anno 2205","0.02","2015","Strategy"
"ano hi mita hana no namae o bokutachi wa mada shiranai","0","2012","Action"
"another code r: a journey into lost memories","0","2009","Adventure"
"ansatsu kyoushitsu: assassin ikusei keikaku!!","0","2016","Action"
"ant nation","0.06","2009","Simulation"
"antiphona no seikahime: tenshi no gakufu op.a","0","2009","Role-Playing"
"antz extreme racing","0.02","2002","Racing"
"anubis ii","0.06","2007","Platform"
"ao no exorcist: genkoku no labyrinth","0","2012","Action"
"ao no kanata no four rhythm","0","2016","Adventure"
"aoishiro","0","2008","Adventure"
"apache: air assault","0.11","2010","Simulation"
"apassionata: die galanacht der pferde","0","2009","Simulation"
"apb reloaded","0.02","2011","Role-Playing"
"ape escape","0.71","1999","Platform"
"ape escape 2","0.12","2002","Platform"
"ape escape 3","0.06","2005","Platform"
"ape escape academy","0.13","2004","Misc"
"ape escape academy (jp sales)","0","2004","Misc"
"ape escape: on the loose","0.52","2005","Platform"
"ape escape: pumped & primed","0.04","2004","Misc"
"apex","0.1","2003","Racing"
"apocalypse","0.25","1998","Action"
"apollo justice: ace attorney","0.32","2007","Adventure"
"aqua aqua","0.05","2000","Puzzle"
"aqua panic!","0.01","2009","Puzzle"
"aqua teen hunger force: zombie ninja pro-am","0.03","2007","Racing"
"aquaman: battle for atlantis","0.01","2003","Action"
"aquanaut's holiday","0.01","1995","Adventure"
"aquanaut's holiday: kakusareta kiroku","0","2008","Adventure"
"aquapazza: aquaplus dream match","0.05","2012","Fighting"
"aquarium by ds","0.05","2008","Simulation"
"ar nosurge: ode to an unborn star","0.05","2014","Role-Playing"
"ar tonelico 2: melody of metafalica","0.04","2007","Role-Playing"
"ar tonelico qoga: knell of ar ciel","0.08","2010","Role-Playing"
"ar tonelico: melody of elemia","0","2006","Role-Playing"
"arabians lost: the engagement on desert","0","2007","Adventure"
"arc rise fantasia","0.13","2009","Role-Playing"
"arc the lad","0","1995","Role-Playing"
"arc the lad ii","0","1996","Role-Playing"
"arc the lad iii","0","1999","Role-Playing"
"arc the lad: end of darkness","0.03","2004","Role-Playing"
"arc the lad: twilight of the spirits","0.18","2003","Role-Playing"
"arcade hits: frisky tom","0.16","2002","Action"
"arcade party pak","0.06","1999","Misc"
"arcade shooting gallery","0.18","2008","Shooter"
"arcade zone","0.14","2009","Misc"
"arcana famiglia 2","0","2013","Adventure"
"arcana famiglia: la storia della aracana famiglia","0","2011","Adventure"
"arcana famiglia: vascello phantasma no majutsushi","0","2012","Action"
"arcana heart","0.06","2007","Fighting"
"arcana heart 3","0.04","2011","Fighting"
"arcania: gothic 4","0.09","2010","Role-Playing"
"archer maclean presents: pool paradise","0.03","2004","Sports"
"archer maclean's 3d pool","0.05","2003","Misc"
"archer maclean's mercury","0.17","2005","Puzzle"
"arctic tale","0.13","2007","Adventure"
"arctic thunder","0.17","2001","Racing"
"are you alice?","0","2011","Adventure"
"are you smarter than a 5th grader?","0.48","2007","Misc"
"are you smarter than a 5th grader? back to school","0.2","2010","Misc"
"are you smarter than a 5th grader? game time","0.25","2009","Puzzle"
"are you smarter than a 5th grader? make the grade","0.51","2008","Misc"
"area 51","0.22","2005","Shooter"
"arena football","0.28","2006","Sports"
"aria: the natural ~tooi yume no mirage~","0","2006","Adventure"
"aria: the origination ~aoi wakusei no el cielo~","0","2008","Adventure"
"arkanoid ds","0.06","2007","Puzzle"
"arma ii","0","2009","Shooter"
"arma iii","0","2013","Shooter"
"armed and dangerous","0.09","2003","Shooter"
"armor ambush","0.15","1981","Action"
"armored core","0.13","1997","Simulation"
"armored core 2","0.28","2000","Simulation"
"armored core 2: another age","0.11","2001","Simulation"
"armored core 3","0.22","2002","Simulation"
"armored core 3 portable","0","2009","Simulation"
"armored core 4","0.19","2007","Simulation"
"armored core sl: silent line portable","0","2009","Simulation"
"armored core v","0.09","2012","Simulation"
"armored core: for answer","0.06","2008","Simulation"
"armored core: formula front extreme battle","0.05","2004","Simulation"
"armored core: last raven","0.05","2005","Simulation"
"armored core: last raven portable","0","2010","Simulation"
"armored core: master of arena","0.07","1999","Simulation"
"armored core: nexus","0.06","2004","Simulation"
"armored core: nine breaker","0.03","2004","Simulation"
"armored core: project phantasma","0.06","1997","Simulation"
"armored core: silent line","0.07","2003","Simulation"
"armored core: verdict day","0","2013","Simulation"
"armorines: project s.w.a.r.m.","0.21","1999","Shooter"
"army corps of hell","0.05","2011","Action"
"army men 3d","1.1","1999","Action"
"army men world war: final front","0.24","2001","Action"
"army men world war: land, sea, air","0.17","2000","Action"
"army men world war: team assault","0.06","2001","Action"
"army men: air attack","0.47","1999","Action"
"army men: air attack 2","0.17","2000","Action"
"army men: air combat","0.19","2000","Action"
"army men: air combat - the elite missions","0.01","2003","Shooter"
"army men: green rogue","0.06","2001","Action"
"army men: major malfunction","0.01","2006","Shooter"
"army men: rts","0.05","2002","Strategy"
"army men: sarge's heroes","0.68","1999","Action"
"army men: sarge's heroes 2","0.34","2000","Shooter"
"army men: sarge's war","0.12","2004","Shooter"
"army men: soldiers of misfortune","0.12","2008","Shooter"
"army of two","1.09","2008","Shooter"
"army of two: the 40th day","0.62","2010","Shooter"
"army of two: the devil's cartel","0.11","2013","Shooter"
"army rescue","0.02","2009","Shooter"
"around the world in 80 days","0","2010","Action"
"arslan: the warriors of legend","0.02","2015","Action"
"art academy","0.28","2010","Misc"
"art academy: home studio","0","2015","Misc"
"art academy: lessons for everyone","0.2","2012","Action"
"art of fighting 3: the path of the warrior","0","1996","Fighting"
"art of fighting anthology","0.02","2006","Fighting"
"arthur and the invisibles","0.03","2007","Adventure"
"arthur! ready to race","0.03","2000","Racing"
"arx fatalis","0.04","2003","Role-Playing"
"ash: archaic sealed heat","0","2007","Role-Playing"
"ashes cricket 2009","0","2009","Sports"
"asphalt 3d","0.27","2011","Racing"
"asphalt: injection","0.14","2011","Action"
"asphalt: urban gt","0.31","2004","Racing"
"asphalt: urban gt 2","0.09","2006","Racing"
"assassin's creed","3.28","2007","Adventure"
"assassin's creed chronicles","0.02","2016","Action"
"assassin's creed chronicles: china","0","2015","Action"
"assassin's creed ii","2.54","2009","Action"
"assassin's creed ii: discovery","0.15","2009","Action"
"assassin's creed iii","2.64","2012","Action"
"assassin's creed iii: liberation","0.58","2012","Action"
"assassin's creed iv: black flag","1.33","2013","Action"
"assassin's creed syndicate","0.8","2015","Action"
"assassin's creed: altair's chronicles","0.03","2008","Platform"
"assassin's creed: bloodlines","0.43","2009","Action"
"assassin's creed: brotherhood","2.84","2010","Action"
"assassin's creed: revelations","1.41","2011","Action"
"assassin's creed: rogue","0.46","2014","Action"
"assassin's creed: unity","1.18","2014","Action"
"assassination classroom: grand siege on kuro-sensei","0","2015","Action"
"assault","0.21","1982","Action"
"assault rigs","0.02","1996","Action"
"assault suit leynos","0.01","2016","Shooter"
"assault: retribution","0.07","1998","Action"
"assetto corsa","0","2016","Racing"
"asterix & obelix: kick buttix","0.02","2004","Action"
"asteroids","4","1980","Shooter"
"asteroids hyper 64","0.13","1999","Shooter"
"astonishia story","0.03","2006","Role-Playing"
"astro boy","0.04","2004","Action"
"astro boy: omega factor","0.06","2003","Action"
"astro boy: the video game","0.05","2009","Action"
"astroblast","0.29","1981","Action"
"astrology ds","0.03","2009","Misc"
"asura's wrath","0.18","2012","Action"
"atari anniversary advance","0.13","2002","Misc"
"atari anniversary edition redux","0.1","2000","Misc"
"atari anthology","0.33","2004","Misc"
"atari classics evolved","0.08","2007","Misc"
"atari's greatest hits: volume 1","0.13","2010","Misc"
"atari's greatest hits: volume 2","0.06","2011","Misc"
"atelier annie: alchemists of sera island","0.08","2009","Role-Playing"
"atelier ayesha: the alchemist of dusk","0.06","2012","Role-Playing"
"atelier escha & logy: alchemists of the dusk sky","0.06","2013","Role-Playing"
"atelier iris 2: the azoth of destiny","0.03","2005","Role-Playing"
"atelier iris 3: grand phantasm (jp sales)","0","2006","Role-Playing"
"atelier iris 3: grand phantasm (us sales)","0.14","2006","Role-Playing"
"atelier iris: eternal mana","0.08","2004","Role-Playing"
"atelier meruru: alchemist of arland 3","0.05","2011","Role-Playing"
"atelier rorona: alchemist of arland","0.22","2009","Role-Playing"
"atelier shallie plus: alchemists of the dusk sea","0","2016","Role-Playing"
"atelier shallie: alchemists of the dusk sea","0.06","2014","Role-Playing"
"atelier sophie: the alchemist of the mysterious book","0","2015","Role-Playing"
"atelier totori: the adventurer of arland","0.12","2010","Role-Playing"
"athens 2004","0.13","2004","Sports"
"atlantic quest","0","2011","Puzzle"
"atlantis","1.18","1981","Shooter"
"atomic betty","0.02","2005","Puzzle"
"attack of the movies 3d","0.1","2010","Shooter"
"attack on titan (koei)","0","2016","Action"
"attack on titan: humanity in chains","0","2013","Action"
"atv offroad fury","2.07","2001","Racing"
"atv offroad fury 2","1.92","2002","Racing"
"atv offroad fury 3","1","2004","Racing"
"atv offroad fury pro","0.37","2006","Racing"
"atv offroad fury: blazin' trails","0.53","2005","Racing"
"atv quad kings","0.21","2009","Racing"
"atv quad power racing 2","0.41","2003","Racing"
"atv: quad frenzy","0.1","2005","Racing"
"atv: quad power racing","0.58","2000","Racing"
"atv/monster truck mayhem","0.33","2007","Racing"
"auto destruct","0.04","1998","Action"
"auto modellista","0.19","2002","Racing"
"automobili lamborghini","0.28","1997","Racing"
"avalon code","0.11","2008","Role-Playing"
"avatar: the game","0.32","2009","Action"
"avatar: the last airbender","0.39","2006","Adventure"
"avatar: the last airbender - into the inferno","0.12","2008","Adventure"
"avatar: the last airbender - the burning earth","0.21","2007","Action"
"away: shuffle dungeon","0.02","2008","Role-Playing"
"azada","0","2012","Puzzle"
"azure dreams","0.07","1997","Role-Playing"
"azure striker gunvolt: striker pack","0","2016","Action"
"azurik: rise of perathia","0.18","2001","Action"
"b-17: fortress in the sky","0.02","2007","Simulation"
"b-boy","0.04","2006","Misc"
"b's-log party♪","0","2010","Adventure"
"baby pals","0.26","2007","Simulation"
"babysitting mama","0.34","2010","Simulation"
"babysitting mania","0.24","2008","Simulation"
"back at the barnyard: slop bucket games","0.12","2008","Sports"
"back to the future: the game","0.1","2015","Adventure"
"backstreet billiards","0.19","1998","Misc"
"backyard baseball","0.24","2004","Sports"
"backyard baseball '09","0.12","2008","Sports"
"backyard baseball '10","0.08","2009","Sports"
"backyard baseball 2006","0.25","2005","Sports"
"backyard basketball","0.13","2004","Sports"
"backyard hockey","0.14","2003","Sports"
"backyard nba basketball","0.29","2003","Sports"
"backyard nfl football","0.02","2002","Sports"
"backyard nfl football '08","0.03","2007","Sports"
"backyard nfl football '09","0.2","2008","Sports"
"backyard nfl football '10","0.16","2009","Sports"
"backyard nfl football 2006","0.1","2005","Sports"
"backyard skateboarding 2006","0.04","2004","Sports"
"backyard soccer","0.07","2001","Sports"
"backyard sports football: rookie rush","0.16","2010","Sports"
"backyard sports: sandlot sluggers","0.15","2010","Sports"
"backyard wrestling 2: there goes the neighborhood","0.14","2004","Fighting"
"backyard wrestling: don't try this at home","0.3","2003","Fighting"
"bad apple wars","0","2015","Action"
"bad boys: miami takedown","0.56","2004","Shooter"
"bae yong-joon to manabu kankokugo ds","0","2009","Misc"
"bahamut lagoon","0","1996","Role-Playing"
"baja: edge of control","0.1","2008","Racing"
"bakemonogatari portable","0","2012","Action"
"baku baku","0","1995","Puzzle"
"bakugan battle brawlers: defenders of the core","0.42","2010","Action"
"bakugan: battle brawlers","1.27","2009","Action"
"bakugan: battle trainer","0.12","2010","Action"
"bakugan: rise of the resistance","0.06","2011","Strategy"
"bakumatsu koihana: shinsengumi ds","0","2008","Adventure"
